Genome ,Coverage,Genes
SMUTp-09,0,TPANIC_RS02695
SMUTp-09,1,TPANIC_RS02820
SMUTp-09,1,TPANIC_RS02830
SMUTp-09,1,TPANIC_RS03015
SMUTp-09,0.8787425,TPANIC_RS03060
SMUTp-09,1,TPANIC_RS03065
SMUTp-09,0.9389279,TPANIC_RS03070
SMUTp-09,1,TPANIC_RS03170
SMUTp-09,1,TPANIC_RS03175
SMUTp-09,1,TPANIC_RS03245
SMUTp-09,1,TPANIC_RS03475
SMUTp-09,1,TPANIC_RS03635
SMUTp-09,1,TPANIC_RS03715
SMUTp-09,1,TPANIC_RS03720
SMUTp-09,1,TPANIC_RS03800
SMUTp-09,1,TPANIC_RS03805
SMUTp-09,0.5799632,TPANIC_RS03940
SMUTp-09,1,TPANIC_RS04050
SMUTp-09,1,TPANIC_RS04235
SMUTp-09,1,TPANIC_RS04240
SMUTp-09,0.6320755,TPANIC_RS04245
SMUTp-09,0.9777623,TPANIC_RS04270
SMUTp-09,0.9460526,TPANIC_RS04420
SMUTp-09,1,TPANIC_RS04710
SMUTp-09,1,TPANIC_RS04715
SMUTp-09,1,TPANIC_RS04720
SMUTp-09,0.9510404,TPANIC_RS04760
SMUTp-09,1,TPANIC_RS04765
SMUTp-09,0.2604871,TPANIC_RS04770
SMUTp-09,0.5800508,TPANIC_RS04775
SMUTp-09,0.1596091,TPANIC_RS04780
SMUTp-09,1,TPANIC_RS04995
SMUTp-09,1,TPANIC_RS05015
SMUTp-09,0.436304,TPANIC_RS05095
SMUTp-09,0.683871,TPANIC_RS05095-377bp-del
SMUTp-09,1,TPANIC_RS05130
Tartu,0.5902174,TPANIC_RS05525
Tartu,0.5606936,TPANIC_RS05530
Tartu,0.7006921,TPANIC_RS05535
Tartu,0.6796166,TPANIC_RS00045
Tartu,0.5724223,TPANIC_RS00200
Tartu,0.5102459,TPANIC_RS00450
Tartu,0.7107382,TPANIC_RS00560
Tartu,0.80902,TPANIC_RS00590
Tartu,0.6154993,TPANIC_RS00635
Tartu,0.8324053,TPANIC_RS00665
Tartu,0.5137987,TPANIC_RS00675
Tartu,0.5522124,TPANIC_RS00680
Tartu,0.6402152,TPANIC_RS00695
Tartu,0.5551569,TPANIC_RS00795
Tartu,0.7667387,TPANIC_RS00830
Tartu,0.6985981,TPANIC_RS00870
Tartu,0.6457944,TPANIC_RS01295
Tartu,0.8563448,TPANIC_RS01455
Tartu,0.6450049,TPANIC_RS01480
Tartu,0.8107517,TPANIC_RS01545
Tartu,0.9254606,TPANIC_RS01555 
Tartu,0.8638766,TPANIC_RS01560
Tartu,0.7266216,TPANIC_RS01590
Tartu,0.5772201,TPANIC_RS01595
Tartu,0.7657111,TPANIC_RS02115
Tartu,0.7468085,TPANIC_RS02120
Tartu,0.806489,TPANIC_RS02210
Tartu,0.4811617,TPANIC_RS02260
Tartu,0.8364987,TPANIC_RS02345
Tartu,0.6472211,TPANIC_RS02370
Tartu,0.827248,TPANIC_RS02405
Tartu,0.5868908,TPANIC_RS02520
Tartu,0.4547546,TPANIC_RS02695
Tartu,0.762406,TPANIC_RS02820
Tartu,0.7584356,TPANIC_RS02830
Tartu,0.6737146,TPANIC_RS03015
Tartu,0.9431137,TPANIC_RS03060
Tartu,0.86386,TPANIC_RS03065
Tartu,0.9217926,TPANIC_RS03070
Tartu,0.5992761,TPANIC_RS03170
Tartu,0.5808026,TPANIC_RS03175
Tartu,0.5783939,TPANIC_RS03245
Tartu,0.5586734,TPANIC_RS03475
Tartu,0.5220031,TPANIC_RS03635
Tartu,0.4754098,TPANIC_RS03715
Tartu,0.5890603,TPANIC_RS03720
Tartu,0.5959498,TPANIC_RS03800
Tartu,0.7082907,TPANIC_RS03805
Tartu,0.5441176,TPANIC_RS03940
Tartu,0.3056155,TPANIC_RS04050
Tartu,0.3285473,TPANIC_RS04235
Tartu,0.5918713,TPANIC_RS04240
Tartu,0.3780324,TPANIC_RS04245
Tartu,0.7213343,TPANIC_RS04270
Tartu,0.4894737,TPANIC_RS04420
Tartu,0.4346035,TPANIC_RS04710
Tartu,0.5710117,TPANIC_RS04715
Tartu,0.5547945,TPANIC_RS04720
Tartu,0.4767442,TPANIC_RS04760
Tartu,0.4475209,TPANIC_RS04765
Tartu,0.462111,TPANIC_RS04770
Tartu,0.5641677,TPANIC_RS04775
Tartu,0.5895765,TPANIC_RS04780
Tartu,0.6802139,TPANIC_RS04995
Tartu,0.6903226,TPANIC_RS05015
Tartu,0.7506834,TPANIC_RS05095
Tartu,0.3870968,TPANIC_RS05095-377bp-del
Tartu,0.5422139,TPANIC_RS05130
TPA_ALC103,0.9793478,TPANIC_RS05525
TPA_ALC103,1,TPANIC_RS05530
TPA_ALC103,1,TPANIC_RS05535
TPA_ALC103,0.9833502,TPANIC_RS00045
TPA_ALC103,1,TPANIC_RS00200
TPA_ALC103,1,TPANIC_RS00450
TPA_ALC103,0.9033557,TPANIC_RS00560
TPA_ALC103,1,TPANIC_RS00590
TPA_ALC103,1,TPANIC_RS00635
TPA_ALC103,1,TPANIC_RS00665
TPA_ALC103,1,TPANIC_RS00675
TPA_ALC103,0.9707965,TPANIC_RS00680
TPA_ALC103,0.6166779,TPANIC_RS00695
TPA_ALC103,0.935426,TPANIC_RS00795
TPA_ALC103,0.9848812,TPANIC_RS00830
TPA_ALC103,1,TPANIC_RS00870
TPA_ALC103,0.8224299,TPANIC_RS01295
TPA_ALC103,0.9680766,TPANIC_RS01455
TPA_ALC103,1,TPANIC_RS01480
TPA_ALC103,1,TPANIC_RS01545
TPA_ALC103,1,TPANIC_RS01555 
TPA_ALC103,1,TPANIC_RS01560
TPA_ALC103,0.8885794,TPANIC_RS01590
TPA_ALC103,1,TPANIC_RS01595
TPA_ALC103,1,TPANIC_RS02115
TPA_ALC103,1,TPANIC_RS02120
TPA_ALC103,0.9142526,TPANIC_RS02210
TPA_ALC103,1,TPANIC_RS02260
TPA_ALC103,1,TPANIC_RS02345
TPA_ALC103,0.9046118,TPANIC_RS02370
TPA_ALC103,0.9509537,TPANIC_RS02405
TPA_ALC103,0.6245378,TPANIC_RS02520
TPA_ALC103,0.827454,TPANIC_RS02695
TPA_ALC103,1,TPANIC_RS02820
TPA_ALC103,0.9992331,TPANIC_RS02830
TPA_ALC103,1,TPANIC_RS03015
TPA_ALC103,1,TPANIC_RS03060
TPA_ALC103,1,TPANIC_RS03065
TPA_ALC103,1,TPANIC_RS03070
TPA_ALC103,0.9146846,TPANIC_RS03170
TPA_ALC103,0.9229935,TPANIC_RS03175
TPA_ALC103,0.8202677,TPANIC_RS03245
TPA_ALC103,1,TPANIC_RS03475
TPA_ALC103,1,TPANIC_RS03635
TPA_ALC103,0.9910581,TPANIC_RS03715
TPA_ALC103,1,TPANIC_RS03720
TPA_ALC103,1,TPANIC_RS03800
TPA_ALC103,0.9078813,TPANIC_RS03805
TPA_ALC103,1,TPANIC_RS03940
TPA_ALC103,1,TPANIC_RS04050
TPA_ALC103,1,TPANIC_RS04235
TPA_ALC103,1,TPANIC_RS04240
TPA_ALC103,0.9892184,TPANIC_RS04245
TPA_ALC103,1,TPANIC_RS04270
TPA_ALC103,0.6460527,TPANIC_RS04420
TPA_ALC103,1,TPANIC_RS04710
TPA_ALC103,1,TPANIC_RS04715
TPA_ALC103,0.9931507,TPANIC_RS04720
TPA_ALC103,1,TPANIC_RS04760
TPA_ALC103,1,TPANIC_RS04765
TPA_ALC103,1,TPANIC_RS04770
TPA_ALC103,1,TPANIC_RS04775
TPA_ALC103,1,TPANIC_RS04780
TPA_ALC103,1,TPANIC_RS04995
TPA_ALC103,1,TPANIC_RS05015
TPA_ALC103,0.9458721,TPANIC_RS05095
TPA_ALC103,1,TPANIC_RS05095-377bp-del
TPA_ALC103,1,TPANIC_RS05130
TPA_BCC012,1,TPANIC_RS05525
TPA_BCC012,1,TPANIC_RS05530
TPA_BCC012,1,TPANIC_RS05535
TPA_BCC012,1,TPANIC_RS00045
TPA_BCC012,1,TPANIC_RS00200
TPA_BCC012,1,TPANIC_RS00450
TPA_BCC012,1,TPANIC_RS00560
TPA_BCC012,1,TPANIC_RS00590
TPA_BCC012,1,TPANIC_RS00635
TPA_BCC012,1,TPANIC_RS00665
TPA_BCC012,1,TPANIC_RS00675
TPA_BCC012,1,TPANIC_RS00680
TPA_BCC012,1,TPANIC_RS00695
TPA_BCC012,1,TPANIC_RS00795
TPA_BCC012,1,TPANIC_RS00830
TPA_BCC012,1,TPANIC_RS00870
TPA_BCC012,1,TPANIC_RS01295
TPA_BCC012,1,TPANIC_RS01455
TPA_BCC012,1,TPANIC_RS01480
TPA_BCC012,1,TPANIC_RS01545
TPA_BCC012,1,TPANIC_RS01555 
TPA_BCC012,1,TPANIC_RS01560
TPA_BCC012,1,TPANIC_RS01590
TPA_BCC012,1,TPANIC_RS01595
TPA_BCC012,1,TPANIC_RS02115
TPA_BCC012,1,TPANIC_RS02120
TPA_BCC012,1,TPANIC_RS02210
TPA_BCC012,1,TPANIC_RS02260
TPA_BCC012,1,TPANIC_RS02345
TPA_BCC012,1,TPANIC_RS02370
TPA_BCC012,1,TPANIC_RS02405
TPA_BCC012,1,TPANIC_RS02520
TPA_BCC012,1,TPANIC_RS02695
TPA_BCC012,1,TPANIC_RS02820
TPA_BCC012,1,TPANIC_RS02830
TPA_BCC012,1,TPANIC_RS03015
TPA_BCC012,1,TPANIC_RS03060
TPA_BCC012,1,TPANIC_RS03065
TPA_BCC012,1,TPANIC_RS03070
TPA_BCC012,1,TPANIC_RS03170
TPA_BCC012,1,TPANIC_RS03175
TPA_BCC012,1,TPANIC_RS03245
TPA_BCC012,1,TPANIC_RS03475
TPA_BCC012,1,TPANIC_RS03635
TPA_BCC012,1,TPANIC_RS03715
TPA_BCC012,1,TPANIC_RS03720
TPA_BCC012,1,TPANIC_RS03800
TPA_BCC012,1,TPANIC_RS03805
TPA_BCC012,1,TPANIC_RS03940
TPA_BCC012,1,TPANIC_RS04050
TPA_BCC012,1,TPANIC_RS04235
TPA_BCC012,1,TPANIC_RS04240
TPA_BCC012,1,TPANIC_RS04245
TPA_BCC012,1,TPANIC_RS04270
TPA_BCC012,0.5769737,TPANIC_RS04420
TPA_BCC012,1,TPANIC_RS04710
TPA_BCC012,1,TPANIC_RS04715
TPA_BCC012,1,TPANIC_RS04720
TPA_BCC012,1,TPANIC_RS04760
TPA_BCC012,1,TPANIC_RS04765
TPA_BCC012,1,TPANIC_RS04770
TPA_BCC012,1,TPANIC_RS04775
TPA_BCC012,1,TPANIC_RS04780
TPA_BCC012,1,TPANIC_RS04995
TPA_BCC012,1,TPANIC_RS05015
TPA_BCC012,1,TPANIC_RS05095
TPA_BCC012,1,TPANIC_RS05095-377bp-del
TPA_BCC012,1,TPANIC_RS05130
TPA_HUN200024,1,TPANIC_RS05525
TPA_HUN200024,1,TPANIC_RS05530
TPA_HUN200024,1,TPANIC_RS05535
TPA_HUN200024,1,TPANIC_RS00045
TPA_HUN200024,1,TPANIC_RS00200
TPA_HUN200024,1,TPANIC_RS00450
TPA_HUN200024,1,TPANIC_RS00560
TPA_HUN200024,1,TPANIC_RS00590
TPA_HUN200024,1,TPANIC_RS00635
TPA_HUN200024,1,TPANIC_RS00665
TPA_HUN200024,1,TPANIC_RS00675
TPA_HUN200024,1,TPANIC_RS00680
TPA_HUN200024,0.9630128,TPANIC_RS00695
TPA_HUN200024,1,TPANIC_RS00795
TPA_HUN200024,1,TPANIC_RS00830
TPA_HUN200024,1,TPANIC_RS00870
TPA_HUN200024,1,TPANIC_RS01295
TPA_HUN200024,1,TPANIC_RS01455
TPA_HUN200024,1,TPANIC_RS01480
TPA_HUN200024,1,TPANIC_RS01545
TPA_HUN200024,1,TPANIC_RS01555 
TPA_HUN200024,1,TPANIC_RS01560
TPA_HUN200024,1,TPANIC_RS01590
TPA_HUN200024,1,TPANIC_RS01595
TPA_HUN200024,1,TPANIC_RS02115
TPA_HUN200024,1,TPANIC_RS02120
TPA_HUN200024,1,TPANIC_RS02210
TPA_HUN200024,1,TPANIC_RS02260
TPA_HUN200024,1,TPANIC_RS02345
TPA_HUN200024,1,TPANIC_RS02370
TPA_HUN200024,1,TPANIC_RS02405
TPA_HUN200024,1,TPANIC_RS02520
TPA_HUN200024,1,TPANIC_RS02695
TPA_HUN200024,1,TPANIC_RS02820
TPA_HUN200024,1,TPANIC_RS02830
TPA_HUN200024,1,TPANIC_RS03015
TPA_HUN200024,1,TPANIC_RS03060
TPA_HUN200024,1,TPANIC_RS03065
TPA_HUN200024,1,TPANIC_RS03070
TPA_HUN200024,1,TPANIC_RS03170
TPA_HUN200024,1,TPANIC_RS03175
TPA_HUN200024,1,TPANIC_RS03245
TPA_HUN200024,1,TPANIC_RS03475
TPA_HUN200024,1,TPANIC_RS03635
TPA_HUN200024,1,TPANIC_RS03715
TPA_HUN200024,1,TPANIC_RS03720
TPA_HUN200024,1,TPANIC_RS03800
TPA_HUN200024,1,TPANIC_RS03805
TPA_HUN200024,1,TPANIC_RS03940
TPA_HUN200024,1,TPANIC_RS04050
TPA_HUN200024,1,TPANIC_RS04235
TPA_HUN200024,1,TPANIC_RS04240
TPA_HUN200024,1,TPANIC_RS04245
TPA_HUN200024,1,TPANIC_RS04270
TPA_HUN200024,0.8131579,TPANIC_RS04420
TPA_HUN200024,1,TPANIC_RS04710
TPA_HUN200024,1,TPANIC_RS04715
TPA_HUN200024,1,TPANIC_RS04720
TPA_HUN200024,1,TPANIC_RS04760
TPA_HUN200024,1,TPANIC_RS04765
TPA_HUN200024,1,TPANIC_RS04770
TPA_HUN200024,1,TPANIC_RS04775
TPA_HUN200024,1,TPANIC_RS04780
TPA_HUN200024,1,TPANIC_RS04995
TPA_HUN200024,1,TPANIC_RS05015
TPA_HUN200024,0.9939858,TPANIC_RS05095
TPA_HUN200024,1,TPANIC_RS05095-377bp-del
TPA_HUN200024,1,TPANIC_RS05130
TPA_RUS_Tuva-41,1,TPANIC_RS05525
TPA_RUS_Tuva-41,1,TPANIC_RS05530
TPA_RUS_Tuva-41,1,TPANIC_RS05535
TPA_RUS_Tuva-41,1,TPANIC_RS00045
TPA_RUS_Tuva-41,1,TPANIC_RS00200
TPA_RUS_Tuva-41,1,TPANIC_RS00450
TPA_RUS_Tuva-41,1,TPANIC_RS00560
TPA_RUS_Tuva-41,1,TPANIC_RS00590
TPA_RUS_Tuva-41,1,TPANIC_RS00635
TPA_RUS_Tuva-41,1,TPANIC_RS00665
TPA_RUS_Tuva-41,1,TPANIC_RS00675
TPA_RUS_Tuva-41,1,TPANIC_RS00680
TPA_RUS_Tuva-41,0.9535978,TPANIC_RS00695
TPA_RUS_Tuva-41,1,TPANIC_RS00795
TPA_RUS_Tuva-41,1,TPANIC_RS00830
TPA_RUS_Tuva-41,1,TPANIC_RS00870
TPA_RUS_Tuva-41,1,TPANIC_RS01295
TPA_RUS_Tuva-41,1,TPANIC_RS01455
TPA_RUS_Tuva-41,1,TPANIC_RS01480
TPA_RUS_Tuva-41,1,TPANIC_RS01545
TPA_RUS_Tuva-41,1,TPANIC_RS01555 
TPA_RUS_Tuva-41,1,TPANIC_RS01560
TPA_RUS_Tuva-41,1,TPANIC_RS01590
TPA_RUS_Tuva-41,1,TPANIC_RS01595
TPA_RUS_Tuva-41,1,TPANIC_RS02115
TPA_RUS_Tuva-41,1,TPANIC_RS02120
TPA_RUS_Tuva-41,1,TPANIC_RS02210
TPA_RUS_Tuva-41,1,TPANIC_RS02260
TPA_RUS_Tuva-41,1,TPANIC_RS02345
TPA_RUS_Tuva-41,1,TPANIC_RS02370
TPA_RUS_Tuva-41,1,TPANIC_RS02405
TPA_RUS_Tuva-41,1,TPANIC_RS02520
TPA_RUS_Tuva-41,0.9808282,TPANIC_RS02695
TPA_RUS_Tuva-41,1,TPANIC_RS02820
TPA_RUS_Tuva-41,1,TPANIC_RS02830
TPA_RUS_Tuva-41,1,TPANIC_RS03015
TPA_RUS_Tuva-41,1,TPANIC_RS03060
TPA_RUS_Tuva-41,1,TPANIC_RS03065
TPA_RUS_Tuva-41,1,TPANIC_RS03070
TPA_RUS_Tuva-41,1,TPANIC_RS03170
TPA_RUS_Tuva-41,1,TPANIC_RS03175
TPA_RUS_Tuva-41,1,TPANIC_RS03245
TPA_RUS_Tuva-41,1,TPANIC_RS03475
TPA_RUS_Tuva-41,1,TPANIC_RS03635
TPA_RUS_Tuva-41,1,TPANIC_RS03715
TPA_RUS_Tuva-41,1,TPANIC_RS03720
TPA_RUS_Tuva-41,1,TPANIC_RS03800
TPA_RUS_Tuva-41,1,TPANIC_RS03805
TPA_RUS_Tuva-41,1,TPANIC_RS03940
TPA_RUS_Tuva-41,1,TPANIC_RS04050
TPA_RUS_Tuva-41,1,TPANIC_RS04235
TPA_RUS_Tuva-41,1,TPANIC_RS04240
TPA_RUS_Tuva-41,1,TPANIC_RS04245
TPA_RUS_Tuva-41,1,TPANIC_RS04270
TPA_RUS_Tuva-41,0.7078947,TPANIC_RS04420
TPA_RUS_Tuva-41,1,TPANIC_RS04710
TPA_RUS_Tuva-41,1,TPANIC_RS04715
TPA_RUS_Tuva-41,1,TPANIC_RS04720
TPA_RUS_Tuva-41,1,TPANIC_RS04760
TPA_RUS_Tuva-41,1,TPANIC_RS04765
TPA_RUS_Tuva-41,1,TPANIC_RS04770
TPA_RUS_Tuva-41,1,TPANIC_RS04775
TPA_RUS_Tuva-41,1,TPANIC_RS04780
TPA_RUS_Tuva-41,1,TPANIC_RS04995
TPA_RUS_Tuva-41,1,TPANIC_RS05015
TPA_RUS_Tuva-41,0.9814106,TPANIC_RS05095
TPA_RUS_Tuva-41,1,TPANIC_RS05095-377bp-del
TPA_RUS_Tuva-41,1,TPANIC_RS05130
TPA_SA006,1,TPANIC_RS05525
TPA_SA006,1,TPANIC_RS05530
TPA_SA006,1,TPANIC_RS05535
TPA_SA006,1,TPANIC_RS00045
TPA_SA006,1,TPANIC_RS00200
TPA_SA006,1,TPANIC_RS00450
TPA_SA006,1,TPANIC_RS00560
TPA_SA006,1,TPANIC_RS00590
TPA_SA006,1,TPANIC_RS00635
TPA_SA006,1,TPANIC_RS00665
TPA_SA006,1,TPANIC_RS00675
TPA_SA006,1,TPANIC_RS00680
TPA_SA006,1,TPANIC_RS00695
TPA_SA006,1,TPANIC_RS00795
TPA_SA006,1,TPANIC_RS00830
TPA_SA006,1,TPANIC_RS00870
TPA_SA006,1,TPANIC_RS01295
TPA_SA006,1,TPANIC_RS01455
TPA_SA006,1,TPANIC_RS01480
TPA_SA006,1,TPANIC_RS01545
TPA_SA006,1,TPANIC_RS01555 
TPA_SA006,1,TPANIC_RS01560
TPA_SA006,1,TPANIC_RS01590
TPA_SA006,1,TPANIC_RS01595
TPA_SA006,1,TPANIC_RS02115
TPA_SA006,1,TPANIC_RS02120
TPA_SA006,1,TPANIC_RS02210
TPA_SA006,1,TPANIC_RS02260
TPA_SA006,1,TPANIC_RS02345
TPA_SA006,1,TPANIC_RS02370
TPA_SA006,1,TPANIC_RS02405
TPA_SA006,1,TPANIC_RS02520
TPA_SA006,1,TPANIC_RS02695
TPA_SA006,1,TPANIC_RS02820
TPA_SA006,1,TPANIC_RS02830
TPA_SA006,1,TPANIC_RS03015
TPA_SA006,1,TPANIC_RS03060
TPA_SA006,1,TPANIC_RS03065
TPA_SA006,1,TPANIC_RS03070
TPA_SA006,1,TPANIC_RS03170
TPA_SA006,1,TPANIC_RS03175
TPA_SA006,1,TPANIC_RS03245
TPA_SA006,1,TPANIC_RS03475
TPA_SA006,1,TPANIC_RS03635
TPA_SA006,1,TPANIC_RS03715
TPA_SA006,1,TPANIC_RS03720
TPA_SA006,1,TPANIC_RS03800
TPA_SA006,1,TPANIC_RS03805
TPA_SA006,1,TPANIC_RS03940
TPA_SA006,1,TPANIC_RS04050
TPA_SA006,1,TPANIC_RS04235
TPA_SA006,1,TPANIC_RS04240
TPA_SA006,1,TPANIC_RS04245
TPA_SA006,1,TPANIC_RS04270
TPA_SA006,0.6467105,TPANIC_RS04420
TPA_SA006,1,TPANIC_RS04710
TPA_SA006,1,TPANIC_RS04715
TPA_SA006,1,TPANIC_RS04720
TPA_SA006,1,TPANIC_RS04760
TPA_SA006,1,TPANIC_RS04765
TPA_SA006,1,TPANIC_RS04770
TPA_SA006,1,TPANIC_RS04775
TPA_SA006,1,TPANIC_RS04780
TPA_SA006,1,TPANIC_RS04995
TPA_SA006,1,TPANIC_RS05015
TPA_SA006,1,TPANIC_RS05095
TPA_SA006,1,TPANIC_RS05095-377bp-del
TPA_SA006,1,TPANIC_RS05130
TPA_SWE-996,1,TPANIC_RS05525
TPA_SWE-996,1,TPANIC_RS05530
TPA_SWE-996,1,TPANIC_RS05535
TPA_SWE-996,1,TPANIC_RS00045
TPA_SWE-996,1,TPANIC_RS00200
TPA_SWE-996,1,TPANIC_RS00450
TPA_SWE-996,1,TPANIC_RS00560
TPA_SWE-996,1,TPANIC_RS00590
TPA_SWE-996,1,TPANIC_RS00635
TPA_SWE-996,1,TPANIC_RS00665
TPA_SWE-996,1,TPANIC_RS00675
TPA_SWE-996,1,TPANIC_RS00680
TPA_SWE-996,0.8190988,TPANIC_RS00695
TPA_SWE-996,1,TPANIC_RS00795
TPA_SWE-996,1,TPANIC_RS00830
TPA_SWE-996,1,TPANIC_RS00870
TPA_SWE-996,1,TPANIC_RS01295
TPA_SWE-996,1,TPANIC_RS01455
TPA_SWE-996,1,TPANIC_RS01480
TPA_SWE-996,1,TPANIC_RS01545
TPA_SWE-996,1,TPANIC_RS01555 
TPA_SWE-996,1,TPANIC_RS01560
TPA_SWE-996,1,TPANIC_RS01590
TPA_SWE-996,1,TPANIC_RS01595
TPA_SWE-996,1,TPANIC_RS02115
TPA_SWE-996,1,TPANIC_RS02120
TPA_SWE-996,1,TPANIC_RS02210
TPA_SWE-996,1,TPANIC_RS02260
TPA_SWE-996,1,TPANIC_RS02345
TPA_SWE-996,1,TPANIC_RS02370
TPA_SWE-996,1,TPANIC_RS02405
TPA_SWE-996,1,TPANIC_RS02520
TPA_SWE-996,0.9432516,TPANIC_RS02695
TPA_SWE-996,1,TPANIC_RS02820
TPA_SWE-996,1,TPANIC_RS02830
TPA_SWE-996,1,TPANIC_RS03015
TPA_SWE-996,1,TPANIC_RS03060
TPA_SWE-996,1,TPANIC_RS03065
TPA_SWE-996,1,TPANIC_RS03070
TPA_SWE-996,1,TPANIC_RS03170
TPA_SWE-996,1,TPANIC_RS03175
TPA_SWE-996,1,TPANIC_RS03245
TPA_SWE-996,1,TPANIC_RS03475
TPA_SWE-996,1,TPANIC_RS03635
TPA_SWE-996,1,TPANIC_RS03715
TPA_SWE-996,1,TPANIC_RS03720
TPA_SWE-996,1,TPANIC_RS03800
TPA_SWE-996,1,TPANIC_RS03805
TPA_SWE-996,1,TPANIC_RS03940
TPA_SWE-996,1,TPANIC_RS04050
TPA_SWE-996,1,TPANIC_RS04235
TPA_SWE-996,1,TPANIC_RS04240
TPA_SWE-996,1,TPANIC_RS04245
TPA_SWE-996,1,TPANIC_RS04270
TPA_SWE-996,0.7157895,TPANIC_RS04420
TPA_SWE-996,1,TPANIC_RS04710
TPA_SWE-996,1,TPANIC_RS04715
TPA_SWE-996,1,TPANIC_RS04720
TPA_SWE-996,1,TPANIC_RS04760
TPA_SWE-996,1,TPANIC_RS04765
TPA_SWE-996,1,TPANIC_RS04770
TPA_SWE-996,0.9993647,TPANIC_RS04775
TPA_SWE-996,1,TPANIC_RS04780
TPA_SWE-996,1,TPANIC_RS04995
TPA_SWE-996,1,TPANIC_RS05015
TPA_SWE-996,0.9606342,TPANIC_RS05095
TPA_SWE-996,1,TPANIC_RS05095-377bp-del
TPA_SWE-996,1,TPANIC_RS05130
TPA_UKBRG008,1,TPANIC_RS05525
TPA_UKBRG008,1,TPANIC_RS05530
TPA_UKBRG008,1,TPANIC_RS05535
TPA_UKBRG008,1,TPANIC_RS00045
TPA_UKBRG008,1,TPANIC_RS00200
TPA_UKBRG008,1,TPANIC_RS00450
TPA_UKBRG008,1,TPANIC_RS00560
TPA_UKBRG008,1,TPANIC_RS00590
TPA_UKBRG008,1,TPANIC_RS00635
TPA_UKBRG008,1,TPANIC_RS00665
TPA_UKBRG008,1,TPANIC_RS00675
TPA_UKBRG008,1,TPANIC_RS00680
TPA_UKBRG008,1,TPANIC_RS00695
TPA_UKBRG008,1,TPANIC_RS00795
TPA_UKBRG008,1,TPANIC_RS00830
TPA_UKBRG008,1,TPANIC_RS00870
TPA_UKBRG008,1,TPANIC_RS01295
TPA_UKBRG008,1,TPANIC_RS01455
TPA_UKBRG008,1,TPANIC_RS01480
TPA_UKBRG008,1,TPANIC_RS01545
TPA_UKBRG008,1,TPANIC_RS01555 
TPA_UKBRG008,1,TPANIC_RS01560
TPA_UKBRG008,1,TPANIC_RS01590
TPA_UKBRG008,1,TPANIC_RS01595
TPA_UKBRG008,1,TPANIC_RS02115
TPA_UKBRG008,1,TPANIC_RS02120
TPA_UKBRG008,1,TPANIC_RS02210
TPA_UKBRG008,1,TPANIC_RS02260
TPA_UKBRG008,1,TPANIC_RS02345
TPA_UKBRG008,1,TPANIC_RS02370
TPA_UKBRG008,1,TPANIC_RS02405
TPA_UKBRG008,1,TPANIC_RS02520
TPA_UKBRG008,1,TPANIC_RS02695
TPA_UKBRG008,1,TPANIC_RS02820
TPA_UKBRG008,1,TPANIC_RS02830
TPA_UKBRG008,1,TPANIC_RS03015
TPA_UKBRG008,1,TPANIC_RS03060
TPA_UKBRG008,1,TPANIC_RS03065
TPA_UKBRG008,1,TPANIC_RS03070
TPA_UKBRG008,1,TPANIC_RS03170
TPA_UKBRG008,1,TPANIC_RS03175
TPA_UKBRG008,1,TPANIC_RS03245
TPA_UKBRG008,1,TPANIC_RS03475
TPA_UKBRG008,1,TPANIC_RS03635
TPA_UKBRG008,1,TPANIC_RS03715
TPA_UKBRG008,1,TPANIC_RS03720
TPA_UKBRG008,1,TPANIC_RS03800
TPA_UKBRG008,1,TPANIC_RS03805
TPA_UKBRG008,1,TPANIC_RS03940
TPA_UKBRG008,1,TPANIC_RS04050
TPA_UKBRG008,1,TPANIC_RS04235
TPA_UKBRG008,1,TPANIC_RS04240
TPA_UKBRG008,1,TPANIC_RS04245
TPA_UKBRG008,1,TPANIC_RS04270
TPA_UKBRG008,0.6269737,TPANIC_RS04420
TPA_UKBRG008,1,TPANIC_RS04710
TPA_UKBRG008,1,TPANIC_RS04715
TPA_UKBRG008,1,TPANIC_RS04720
TPA_UKBRG008,1,TPANIC_RS04760
TPA_UKBRG008,1,TPANIC_RS04765
TPA_UKBRG008,1,TPANIC_RS04770
TPA_UKBRG008,1,TPANIC_RS04775
TPA_UKBRG008,1,TPANIC_RS04780
TPA_UKBRG008,1,TPANIC_RS04995
TPA_UKBRG008,1,TPANIC_RS05015
TPA_UKBRG008,1,TPANIC_RS05095
TPA_UKBRG008,1,TPANIC_RS05095-377bp-del
TPA_UKBRG008,1,TPANIC_RS05130
TPA_USL-BAL-2,1,TPANIC_RS05525
TPA_USL-BAL-2,1,TPANIC_RS05530
TPA_USL-BAL-2,1,TPANIC_RS05535
TPA_USL-BAL-2,1,TPANIC_RS00045
TPA_USL-BAL-2,1,TPANIC_RS00200
TPA_USL-BAL-2,1,TPANIC_RS00450
TPA_USL-BAL-2,1,TPANIC_RS00560
TPA_USL-BAL-2,1,TPANIC_RS00590
TPA_USL-BAL-2,1,TPANIC_RS00635
TPA_USL-BAL-2,1,TPANIC_RS00665
TPA_USL-BAL-2,1,TPANIC_RS00675
TPA_USL-BAL-2,1,TPANIC_RS00680
TPA_USL-BAL-2,0.9677203,TPANIC_RS00695
TPA_USL-BAL-2,1,TPANIC_RS00795
